"node_id","degree_centrality","betweenness_centrality","closeness_centrality","eigenvector_centrality","node_degree","cluster"
953,0.104549854791868,0.00234850598938405,0.401009316770186,0.0520243045127818,108,2
1323,0.0735721200387222,0.000132159216132983,0.360055768560474,0.0376609089941391,76,2
1370,0.107454017424976,0.000385266227591984,0.386312640239342,0.0575540368352355,111,2
1553,0.0348499515972895,0.0127942432543513,0.377007299270073,0.00693075356866437,36,1
1571,0.0571151984511133,0.00075626152222039,0.374411018484958,0.0264808297939746,59,2
1078,0.176185866408519,0.00153742298929176,0.415526950925181,0.0928725645429575,182,2
1551,0.164569215876089,0.00127362559069355,0.40541601255887,0.0844678518402891,170,2
1793,0.139399806389158,0.000572162548068768,0.392328142802886,0.0756962854535969,144,2
1605,0.0861568247821878,0.000344821825055417,0.37824972537532,0.045480229301775,89,2
1804,0.187802516940949,0.00230271333168507,0.417711281843914,0.0966620376163868,194,2
1604,0.142303969022265,0.00535464336695128,0.417373737373737,0.0680226573959834,147,2
1163,0.095837366892546,0.000251325304371866,0.384873323397914,0.0530184490401781,99,2
1083,0.101645692158761,0.00077620285172398,0.385879716100112,0.0526725842493265,105,2
1471,0.162633107454017,0.00604050592505528,0.410735586481113,0.0839466847347408,168,2
1621,0.181994191674734,0.00553461061443188,0.422840769545641,0.0945490710554062,188,2
1487,0.0600193610842207,0.0086083545650589,0.424928013163307,0.00605489421645523,62,2
1172,0.108422071636012,0.000625226097706849,0.393523809523809,0.0609683819321379,112,2
1191,0.105517909002904,0.000608719788653534,0.385303991048116,0.0555442185405121,109,2
1590,0.0842207163601162,0.0024892356115369,0.385016772269847,0.0387917997333303,87,2
997,0.0919651500484027,0.00022160458214784,0.362456140350877,0.0443271743390182,95,2
1888,0.244917715392062,0.00618998819589005,0.433487201007134,0.116632981955166,253,2
1675,0.112294288480155,0.00293247777760703,0.410898965791567,0.0558926883538669,116,2
1613,0.175217812197483,0.00211988697145406,0.415526950925181,0.0908291366158654,181,2
1714,0.180058083252662,0.00119663160322569,0.409595559080095,0.0954715659794979,186,2
1662,0.140367860600194,0.000698383848726737,0.398995751255311,0.0769224973433004,145,2
484,0.0648596321393998,0.00914515583685702,0.41889699918897,0.00474215589920495,67,2
1707,0.178121974830591,0.00139974831085446,0.409433214427269,0.0926556884023807,184,2
1563,0.107454017424976,0.00107027165977736,0.39684978870534,0.0576156320582781,111,2
1056,0.0619554695062924,0.000519056900529409,0.372924187725632,0.0270047604074033,64,2
1173,0.110358180058083,0.00909439087165439,0.403831118060985,0.0478686845486708,114,2
1741,0.0997095837366893,0.000712846279881443,0.389223813112283,0.0534135204395069,103,2
1610,0.172313649564376,0.00121727801320461,0.399458623356535,0.0881941708441001,178,2
1589,0.197483059051307,0.00208942747562576,0.418049372723594,0.101985502628114,204,2
1809,0.108422071636012,0.000581041398263557,0.387326584176978,0.0556867330220882,112,2
1331,0.140367860600194,0.000906285538679222,0.386457164234942,0.0733042186979771,145,2
1160,0.0842207163601162,0.000817823424888889,0.380619012527634,0.0393590896517281,87,2
1559,0.179090029041626,0.00283924432234285,0.407977883096367,0.0929017461885768,185,2
1868,0.116166505324298,0.000726630344102314,0.391287878787879,0.0594628409452013,120,2
1156,0.0948693126815102,0.000444773781544584,0.385735623599701,0.0506510325260556,98,2
1107,0.135527589545015,0.000631994556405848,0.384157679434734,0.0724437468922085,140,2
1086,0.197483059051307,0.106557347172329,0.482935951379149,0.0858349980325785,204,2
1029,0.0755082284607938,0.0117975270893161,0.403515625,0.0288321040115995,78,2
995,0.0629235237173282,0.00365532527692907,0.378943506969919,0.0234798445471795,65,2
1040,0.063891577928364,0.000197363496492421,0.354860872552388,0.0307469067169659,66,1
1391,0.168441432720232,0.00205195386963725,0.414028056112224,0.0865441733888615,174,2
1377,0.18296224588577,0.0041507999472575,0.433305369127517,0.0901876859892729,189,2
1214,0.109390125847047,0.00339046213280796,0.39397406559878,0.0525323854596328,113,2
1256,0.1297192642788,0.000924680268345302,0.392030360531309,0.0649820634686078,134,2
1670,0.00968054211035818,0.000841518574054033,0.313600485731633,0.00151420456471164,10,1
1361,0.131655372700871,0.0033746119141674,0.395482388973966,0.0644631470243696,136,2
1359,0.0803484995159729,0.000281882991005349,0.358929812369701,0.0365205015971629,83,2
1663,0.226524685382381,0.00558206377119943,0.433123689727463,0.109571088943617,234,2
1580,0.0793804453049371,0.000203292191165833,0.357563170647283,0.0421861934716823,82,2
1736,0.150048402710552,0.000995198202831173,0.397919876733436,0.0809837144900904,155,2
1842,0.114230396902227,0.000514590637620541,0.388345864661654,0.0605788630850556,118,2
1609,0.0880929332042594,0.000407088512519033,0.383444691907944,0.0427231153885171,91,2
1665,0.121974830590513,0.000495698548683499,0.393074581430746,0.0645805447560398,126,2
1791,0.125847047434656,0.00320587854349814,0.403673309886674,0.0664761042583887,130,2
1470,0.0677637947725073,0.00114663658765239,0.360558464223386,0.0302544230061882,70,2
1201,0.0551790900290416,0.00012213568388061,0.37158273381295,0.0281622407175304,57,1
1509,0.125847047434656,0.00224549484550549,0.407495069033531,0.0660474756473628,130,2
1622,0.170377541142304,0.00192753859659654,0.414526484751204,0.0862379012713492,176,2
1222,0.13649564375605,0.00653871093823845,0.423881821912187,0.0670561745958078,141,2
1409,0.101645692158761,0.0031148921835328,0.39442535318824,0.0475369943162584,105,2
1271,0.0919651500484027,0.000488147404469412,0.386746536877574,0.0489762689029778,95,2
1389,0.0435624394966118,7.74458646485695e-05,0.371716444764304,0.0232542280466845,45,1
1238,0.146176185866409,0.00389487558734045,0.413696435722867,0.0692405290843574,151,2
1243,0.107454017424976,0.00194134257515011,0.406692913385827,0.0566072305578482,111,2
1685,0.0890609874152953,0.000510480770258741,0.377972923527259,0.0478442816186563,92,2
1199,0.209099709583737,0.00280567823850818,0.420602605863192,0.104728961346236,216,2
1637,0.0948693126815102,0.00249655253554594,0.391733029958286,0.0449835816970244,98,2
1722,0.05324298160697,0.00122065801310071,0.37238644556597,0.0219331559791151,55,1
1530,0.100677637947725,0.000136193020847697,0.377144943410004,0.0605738629947841,104,2
1047,0.0619554695062924,0.000357112067190291,0.360936408106219,0.0321589855996459,64,1
1059,0.158760890609874,0.00222784450956875,0.416364369205965,0.083617177153548,164,2
1826,0.0977734753146176,0.000212056517458118,0.376869755563663,0.0543063083256077,101,2
897,0.0629235237173282,0.00178084958521067,0.369985673352436,0.0230492968366653,65,2
1849,0.114230396902227,0.00026927622380196,0.389958474896187,0.0662630044382614,118,2
1330,0.117134559535334,0.00212563352488634,0.398533950617284,0.062320142116323,121,2
932,0.0600193610842207,0.000368649427968654,0.351599727705922,0.0265530352487946,62,1
1902,0.124878993223621,0.00177687699831941,0.403989049667579,0.0668888468246459,129,2
1520,0.112294288480155,0.00118903419141433,0.397307692307692,0.0593544357885268,116,2
1861,0.0948693126815102,0.00512778792212376,0.395937140666922,0.0431365388989303,98,2
978,0.0997095837366893,0.00337178512373914,0.395937140666922,0.0555372525614522,103,2
1289,0.0813165537270087,0.000424650428216713,0.381744271988174,0.048170669818394,84,2
1431,0.212003872216844,0.0138984322708695,0.422494887525562,0.104802840994586,219,2
1230,0.120038722168441,0.00064008022914986,0.39277566539924,0.0655083302226263,124,2
1813,0.150048402710552,0.00605174269716557,0.425628347754429,0.0710274979113899,155,2
1124,0.124878993223621,0.00273861765109551,0.392328142802886,0.0581662133004727,129,2
1483,0.0919651500484027,0.00150335716156959,0.389223813112283,0.0441820711766044,95,2
1117,0.117134559535334,0.00149833973335342,0.395633856759862,0.0636641878845276,121,2
1730,0.217812197483059,0.00655712167555607,0.434398654331371,0.102510392541894,225,2
1280,0.0726040658276864,0.000497362745114676,0.357934857934858,0.034275785942114,75,2
1620,0.122942884801549,0.0136765969628355,0.436233108108108,0.0528286602984114,127,2
1488,0.1297192642788,0.00101063651922288,0.395633856759862,0.0665638564552306,134,2
1336,0.0522749273959342,2.29683684112044e-05,0.341713529606351,0.0288339479417267,54,1
1688,0.0909970958373669,0.00945075492513959,0.411881977671451,0.0367509439899028,94,2
1205,0.0977734753146176,0.000284962255119987,0.371984155563558,0.0478055960430705,101,2
1898,0.0968054211035818,0.000346542807051577,0.381180811808118,0.0487618670615391,100,2
